iter	Passed	Remaining
1470	9088	21804
1471	9096	21800
1472	9104	21799
1473	9110	21794
1474	9118	21791
1475	9124	21785
1476	9130	21778
1477	9137	21774
1478	9143	21768
1479	9150	21763
1480	9156	21757
1481	9162	21750
1482	9168	21742
1483	9174	21736
1484	9180	21729
1485	9189	21730
1486	9197	21729
1487	9205	21726
1488	9211	21720
1489	9217	21714
1490	9224	21708
1491	9231	21705
1492	9239	21703
1493	9245	21696
1494	9253	21694
1495	9260	21691
1496	9267	21686
1497	9273	21680
1498	9279	21673
1499	9286	21667
1500	9292	21661
1501	9298	21655
1502	9304	21648
1503	9310	21641
1504	9315	21633
1505	9322	21628
1506	9328	21622
1507	9334	21615
1508	9340	21609
1509	9347	21604
1510	9353	21597
1511	9359	21590
1512	9364	21583
1513	9370	21576
1514	9377	21570
1515	9383	21563
1516	9389	21557
1517	9395	21550
1518	9401	21544
1519	9407	21539
1520	9413	21531
1521	9419	21525
1522	9425	21518
1523	9431	21510
1524	9436	21503
1525	9443	21498
1526	9449	21491
1527	9454	21483
1528	9460	21476
1529	9466	21470
1530	9475	21470
1531	9482	21466
1532	9492	21467
1533	9498	21460
1534	9504	21454
1535	9510	21447
1536	9517	21443
1537	9524	21440
1538	9530	21433
1539	9536	21426
1540	9542	21420
1541	9550	21416
1542	9555	21409
1543	9561	21402
1544	9567	21395
1545	9573	21389
1546	9579	21383
1547	9586	21377
1548	9592	21370
1549	9598	21364
1550	9605	21359
1551	9611	21352
1552	9617	21346
1553	9623	21339
1554	9629	21332
1555	9635	21326
1556	9641	21319
1557	9648	21315
1558	9656	21312
1559	9662	21307
1560	9668	21301
1561	9674	21294
1562	9681	21288
1563	9687	21283
1564	9694	21278
1565	9701	21273
1566	9707	21266
1567	9714	21262
1568	9720	21256
1569	9727	21251
1570	9732	21244
1571	9739	21237
1572	9745	21232
1573	9751	21225
1574	9757	21218
1575	9763	21211
1576	9769	21206
1577	9775	21199
1578	9782	21194
1579	9789	21189
1580	9797	21187
1581	9804	21183
1582	9812	21179
1583	9818	21173
1584	9824	21166
1585	9831	21162
1586	9839	21160
1587	9846	21155
1588	9853	21151
1589	9860	21146
1590	9866	21140
1591	9872	21135
1592	9880	21130
1593	9885	21123
1594	9891	21116
1595	9896	21108
1596	9902	21101
1597	9908	21094
1598	9915	21089
1599	9920	21082
1600	9926	21074
1601	9932	21068
1602	9938	21061
1603	9944	21054
1604	9950	21047
1605	9956	21040
1606	9962	21033
1607	9967	21026
1608	9974	21020
1609	9979	21013
1610	9985	21005
1611	9991	20998
1612	9996	20991
1613	10003	20985
1614	10009	20978
1615	10014	20971
1616	10020	20965
1617	10027	20959
1618	10033	20953
1619	10039	20946
1620	10046	20942
1621	10055	20941
1622	10063	20938
1623	10071	20936
1624	10078	20931
1625	10085	20928
1626	10092	20923
1627	10099	20917
1628	10104	20910
1629	10111	20905
1630	10122	20909
1631	10129	20904
1632	10135	20898
1633	10141	20890
1634	10147	20883
1635	10152	20876
1636	10159	20870
1637	10165	20864
1638	10172	20860
1639	10178	20853
1640	10184	20845
1641	10190	20839
1642	10196	20832
1643	10202	20826
1644	10208	20820
1645	10214	20813
1646	10221	20808
1647	10227	20802
1648	10233	20795
1649	10239	20788
1650	10244	20781
1651	10250	20774
1652	10256	20767
1653	10263	20761
1654	10269	20756
1655	10275	20749
1656	10281	20742
1657	10287	20735
1658	10293	20729
1659	10299	20722
1660	10305	20715
1661	10311	20709
1662	10318	20705
1663	10325	20701
1664	10343	20718
1665	10349	20710
1666	10354	20702
1667	10360	20695
1668	10366	20688
1669	10373	20685
1670	10381	20681
1671	10387	20676
1672	10393	20669
1673	10399	20662
1674	10405	20655
1675	10411	20648
